"STATION","NAME","DATE","AWND","DAPR","DASF","MDPR","MDSF","PGTM","PRCP","PSUN","SNOW","SNWD","TAVG","TMAX","TMIN","TOBS","TSUN","WDF2","WDF5","WESD","WESF","WSF2","WSF5","WT01","WT02","WT03","WT04","WT05","WT06","WT08","WT09","WT11"
"US1NJUN0028","SPRINGFIELD TWP 0.7 NNE, NJ US","2018-01-25",,,,,,,"0.00",,"0.0",,,,,,,,,,,,,,,,,,,,,
"US1NJUN0028","SPRINGFIELD TWP 0.7 NNE, NJ US","2018-01-26",,,,,,,"0.00",,"0.0",,,,,,,,,,,,,,,,,,,,,
"US1NJUN0028","SPRINGFIELD TWP 0.7 NNE, NJ US","2018-01-27",,,,,,,"0.00",,"0.0",,,,,,,,,,,,,,,,,,,,,
"US1NJUN0028","SPRINGFIELD TWP 0.7 NNE, NJ US","2018-01-28",,,,,,,"0.15",,,,,,,,,,,,,,,,,,,,,,,
"US1NJUN0028","SPRINGFIELD TWP 0.7 NNE, NJ US","2018-01-29",,,,,,,"0.06",,,,,,,,,,,,,,,,,,,,,,,
"US1NJUN0028","SPRINGFIELD TWP 0.7 NNE, NJ US","2018-02-01",,,,,,,"0.00",,"0.0",,,,,,,,,,,,,,,,,,,,,
"US1NJUN0028","SPRINGFIELD TWP 0.7 NNE, NJ US","2018-02-02",,,,,,,"0.20",,,,,,,,,,,,,,,,,,,,,,,
"US1NJUN0028","SPRINGFIELD TWP 0.7 NNE, NJ US","2018-02-05",,,,,,,"0.75",,,,,,,,,,,,,,,,,,,,,,,
"US1NJUN0028","SPRINGFIELD TWP 0.7 NNE, NJ US","2018-02-08",,,,,,,"0.97",,,,,,,,,,,,,,,,,,,,,,,
"US1NJUN0028","SPRINGFIELD TWP 0.7 NNE, NJ US","2018-02-09",,,,,,,"0.00",,"0.0",,,,,,,,,,,,,,,,,,,,,
"US1NJUN0028","SPRINGFIELD TWP 0.7 NNE, NJ US","2018-02-10",,,,,,,"0.00",,"0.0",,,,,,,,,,,,,,,,,,,,,
"US1NJUN0028","SPRINGFIELD TWP 0.7 NNE, NJ US","2018-02-11",,,,,,,"1.12",,,,,,,,,,,,,,,,,,,,,,,
"US1NJUN0028","SPRINGFIELD TWP 0.7 NNE, NJ US","2018-02-12",,,,,,,"0.53",,"0.0",,,,,,,,,,,,,,,,,,,,,
"US1NJUN0028","SPRINGFIELD TWP 0.7 NNE, NJ US","2018-02-13",,,,,,,"0.02",,,,,,,,,,,,,,,,,,,,,,,
"US1NJUN0028","SPRINGFIELD TWP 0.7 NNE, NJ US","2018-02-14",,,,,,,"0.00",,"0.0",,,,,,,,,,,,,,,,,,,,,
"US1NJUN0028","SPRINGFIELD TWP 0.7 NNE, NJ US","2018-02-15",,,,,,,"0.10",,,,,,,,,,,,,,,,,,,,,,,
"US1NJUN0028","SPRINGFIELD TWP 0.7 NNE, NJ US","2018-02-16",,,,,,,"0.18",,,,,,,,,,,,,,,,,,,,,,,
"US1NJUN0028","SPRINGFIELD TWP 0.7 NNE, NJ US","2018-02-17",,,,,,,"0.03",,,,,,,,,,,,,,,,,,,,,,,
"US1NJUN0028","SPRINGFIELD TWP 0.7 NNE, NJ US","2018-02-19",,,,,,,"0.00",,"0.0",,,,,,,,,,,,,,,,,,,,,
"US1NJUN0028","SPRINGFIELD TWP 0.7 NNE, NJ US","2018-02-20",,,,,,,"0.08",,"0.0",,,,,,,,,,,,,,,,,,,,,
"US1NJUN0028","SPRINGFIELD TWP 0.7 NNE, NJ US","2018-02-21",,,,,,,"0.00",,,,,,,,,,,,,,,,,,,,,,,
"US1NJUN0028","SPRINGFIELD TWP 0.7 NNE, NJ US","2018-02-22",,,,,,,"0.14",,,,,,,,,,,,,,,,,,,,,,,
"US1NJUN0028","SPRINGFIELD TWP 0.7 NNE, NJ US","2018-02-23",,,,,,,"0.27",,,,,,,,,,,,,,,,,,,,,,,
"US1NJUN0028","SPRINGFIELD TWP 0.7 NNE, NJ US","2018-02-24",,,,,,,"0.10",,,,,,,,,,,,,,,,,,,,,,,
"US1NJUN0028","SPRINGFIELD TWP 0.7 NNE, NJ US","2018-02-25",,,,,,,"0.90",,,,,,,,,,,,,,,,,,,,,,,
"US1NJUN0028","SPRINGFIELD TWP 0.7 NNE, NJ US","2018-02-26",,,,,,,"0.19",,,,,,,,,,,,,,,,,,,,,,,
"US1NJUN0028","SPRINGFIELD TWP 0.7 NNE, NJ US","2018-02-27",,,,,,,"0.00",,"0.0",,,,,,,,,,,,,,,,,,,,,
"US1NJUN0028","SPRINGFIELD TWP 0.7 NNE, NJ US","2018-02-28",,,,,,,"0.00",,"0.0",,,,,,,,,,,,,,,,,,,,,
"US1NJUN0028","SPRINGFIELD TWP 0.7 NNE, NJ US","2018-03-01",,,,,,,"0.00",,"0.0",,,,,,,,,,,,,,,,,,,,,
"US1NJUN0028","SPRINGFIELD TWP 0.7 NNE, NJ US","2018-03-02",,,,,,,"1.18",,,,,,,,,,,,,,,,,,,,,,,
"US1NJUN0028","SPRINGFIELD TWP 0.7 NNE, NJ US","2018-03-03",,,,,,,"0.98",,,,,,,,,,,,,,,,,,,,,,,
"US1NJUN0028","SPRINGFIELD TWP 0.7 NNE, NJ US","2018-03-04",,,,,,,"0.00",,"0.0",,,,,,,,,,,,,,,,,,,,,
"US1NJUN0028","SPRINGFIELD TWP 0.7 NNE, NJ US","2018-03-05",,,,,,,"0.00",,"0.0",,,,,,,,,,,,,,,,,,,,,
"US1NJUN0028","SPRINGFIELD TWP 0.7 NNE, NJ US","2018-03-12",,,,,,,"0.00",,"0.0",,,,,,,,,,,,,,,,,,,,,
"US1NJUN0028","SPRINGFIELD TWP 0.7 NNE, NJ US","2018-03-16",,,,,,,"0.00",,"0.0",,,,,,,,,,,,,,,,,,,,,
"US1NJUN0028","SPRINGFIELD TWP 0.7 NNE, NJ US","2018-03-17",,,,,,,"0.00",,"0.0",,,,,,,,,,,,,,,,,,,,,
"US1NJUN0028","SPRINGFIELD TWP 0.7 NNE, NJ US","2018-03-18",,,,,,,"0.00",,"0.0",,,,,,,,,,,,,,,,,,,,,
"US1NJUN0028","SPRINGFIELD TWP 0.7 NNE, NJ US","2018-03-20",,,,,,,"0.00",,"0.0",,,,,,,,,,,,,,,,,,,,,
"US1NJUN0028","SPRINGFIELD TWP 0.7 NNE, NJ US","2018-03-23",,,,,,,"0.00",,"0.0",,,,,,,,,,,,,,,,,,,,,
"US1NJUN0028","SPRINGFIELD TWP 0.7 NNE, NJ US","2018-03-24",,,,,,,"0.00",,"0.0",,,,,,,,,,,,,,,,,,,,,
"US1NJUN0028","SPRINGFIELD TWP 0.7 NNE, NJ US","2018-03-25",,,,,,,"0.00",,"0.0",,,,,,,,,,,,,,,,,,,,,
"US1NJUN0028","SPRINGFIELD TWP 0.7 NNE, NJ US","2018-03-26",,,,,,,"0.00",,"0.0",,,,,,,,,,,,,,,,,,,,,
"US1NJUN0028","SPRINGFIELD TWP 0.7 NNE, NJ US","2018-03-28",,,,,,,"0.13",,,,,,,,,,,,,,,,,,,,,,,
"US1NJUN0028","SPRINGFIELD TWP 0.7 NNE, NJ US","2018-03-29",,,,,,,"0.03",,,,,,,,,,,,,,,,,,,,,,,
"US1NJUN0028","SPRINGFIELD TWP 0.7 NNE, NJ US","2018-03-30",,,,,,,"0.08",,,,,,,,,,,,,,,,,,,,,,,
"US1NJUN0028","SPRINGFIELD TWP 0.7 NNE, NJ US","2018-03-31",,,,,,,"0.04",,,,,,,,,,,,,,,,,,,,,,,
"US1NJUN0028","SPRINGFIELD TWP 0.7 NNE, NJ US","2018-04-01",,,,,,,"0.00",,"0.0",,,,,,,,,,,,,,,,,,,,,
"US1NJUN0028","SPRINGFIELD TWP 0.7 NNE, NJ US","2018-04-04",,,,,,,"0.34",,,,,,,,,,,,,,,,,,,,,,,
"US1NJUN0028","SPRINGFIELD TWP 0.7 NNE, NJ US","2018-04-05",,,,,,,"0.06",,,,,,,,,,,,,,,,,,,,,,,
"US1NJUN0028","SPRINGFIELD TWP 0.7 NNE, NJ US","2018-04-06",,,,,,,"0.00",,"0.0",,,,,,,,,,,,,,,,,,,,,
"US1NJUN0028","SPRINGFIELD TWP 0.7 NNE, NJ US","2018-04-07",,,,,,,"0.05",,,,,,,,,,,,,,,,,,,,,,,
"US1NJUN0028","SPRINGFIELD TWP 0.7 NNE, NJ US","2018-04-08",,,,,,,"0.00",,"0.0",,,,,,,,,,,,,,,,,,,,,
"US1NJUN0028","SPRINGFIELD TWP 0.7 NNE, NJ US","2018-04-10",,,,,,,"0.02",,,,,,,,,,,,,,,,,,,,,,,
"US1NJUN0028","SPRINGFIELD TWP 0.7 NNE, NJ US","2018-04-11",,,,,,,"0.03",,,,,,,,,,,,,,,,,,,,,,,
"US1NJUN0028","SPRINGFIELD TWP 0.7 NNE, NJ US","2018-04-13",,,,,,,"0.00",,"0.0",,,,,,,,,,,,,,,,,,,,,
"US1NJUN0028","SPRINGFIELD TWP 0.7 NNE, NJ US","2018-04-14",,,,,,,"0.00",,"0.0",,,,,,,,,,,,,,,,,,,,,
"US1NJUN0028","SPRINGFIELD TWP 0.7 NNE, NJ US","2018-04-15",,,,,,,"0.00",,"0.0",,,,,,,,,,,,,,,,,,,,,
"US1NJUN0028","SPRINGFIELD TWP 0.7 NNE, NJ US","2018-04-16",,,,,,,"1.87",,,,,,,,,,,,,,,,,,,,,,,
"US1NJUN0028","SPRINGFIELD TWP 0.7 NNE, NJ US","2018-04-17",,,,,,,"1.87",,,,,,,,,,,,,,,,,,,,,,,
"US1NJUN0028","SPRINGFIELD TWP 0.7 NNE, NJ US","2018-04-18",,,,,,,"0.00",,"0.0",,,,,,,,,,,,,,,,,,,,,
"US1NJUN0028","SPRINGFIELD TWP 0.7 NNE, NJ US","2018-04-19",,,,,,,"0.13",,,,,,,,,,,,,,,,,,,,,,,
"US1NJUN0028","SPRINGFIELD TWP 0.7 NNE, NJ US","2018-04-22",,,,,,,"0.00",,"0.0",,,,,,,,,,,,,,,,,,,,,
"US1NJUN0028","SPRINGFIELD TWP 0.7 NNE, NJ US","2018-04-23",,,,,,,"0.00",,"0.0",,,,,,,,,,,,,,,,,,,,,
"US1NJUN0028","SPRINGFIELD TWP 0.7 NNE, NJ US","2018-04-24",,,,,,,"0.00",,"0.0",,,,,,,,,,,,,,,,,,,,,
"US1NJUN0028","SPRINGFIELD TWP 0.7 NNE, NJ US","2018-04-25",,,,,,,"0.62",,,,,,,,,,,,,,,,,,,,,,,
"US1NJUN0028","SPRINGFIELD TWP 0.7 NNE, NJ US","2018-04-26",,,,,,,"0.47",,,,,,,,,,,,,,,,,,,,,,,
"US1NJUN0028","SPRINGFIELD TWP 0.7 NNE, NJ US","2018-04-27",,,,,,,"0.00",,"0.0",,,,,,,,,,,,,,,,,,,,,
"US1NJUN0028","SPRINGFIELD TWP 0.7 NNE, NJ US","2018-04-28",,,,,,,"0.13",,,,,,,,,,,,,,,,,,,,,,,
"US1NJUN0028","SPRINGFIELD TWP 0.7 NNE, NJ US","2018-04-29",,,,,,,"0.49",,,,,,,,,,,,,,,,,,,,,,,
"US1NJUN0028","SPRINGFIELD TWP 0.7 NNE, NJ US","2018-04-30",,,,,,,"0.00",,"0.0",,,,,,,,,,,,,,,,,,,,,
"US1NJUN0028","SPRINGFIELD TWP 0.7 NNE, NJ US","2018-05-01",,,,,,,"0.03",,,,,,,,,,,,,,,,,,,,,,,
"US1NJUN0028","SPRINGFIELD TWP 0.7 NNE, NJ US","2018-05-02",,,,,,,"0.00",,"0.0",,,,,,,,,,,,,,,,,,,,,
"US1NJUN0028","SPRINGFIELD TWP 0.7 NNE, NJ US","2018-05-03",,,,,,,"0.00",,"0.0",,,,,,,,,,,,,,,,,,,,,
"US1NJUN0028","SPRINGFIELD TWP 0.7 NNE, NJ US","2018-05-04",,,,,,,"0.04",,,,,,,,,,,,,,,,,,,,,,,
"US1NJUN0028","SPRINGFIELD TWP 0.7 NNE, NJ US","2018-05-05",,,,,,,"0.00",,"0.0",,,,,,,,,,,,,,,,,,,,,
"US1NJUN0028","SPRINGFIELD TWP 0.7 NNE, NJ US","2018-05-06",,,,,,,"0.02",,,,,,,,,,,,,,,,,,,,,,,
"US1NJUN0028","SPRINGFIELD TWP 0.7 NNE, NJ US","2018-05-07",,,,,,,"0.00",,"0.0",,,,,,,,,,,,,,,,,,,,,
"US1NJUN0028","SPRINGFIELD TWP 0.7 NNE, NJ US","2018-05-08",,,,,,,"0.00",,"0.0",,,,,,,,,,,,,,,,,,,,,
"US1NJUN0028","SPRINGFIELD TWP 0.7 NNE, NJ US","2018-05-09",,,,,,,"0.00",,"0.0",,,,,,,,,,,,,,,,,,,,,
"US1NJUN0028","SPRINGFIELD TWP 0.7 NNE, NJ US","2018-05-10",,,,,,,"0.00",,"0.0",,,,,,,,,,,,,,,,,,,,,
"US1NJUN0028","SPRINGFIELD TWP 0.7 NNE, NJ US","2018-05-11",,,,,,,"0.37",,,,,,,,,,,,,,,,,,,,,,,
"US1NJUN0028","SPRINGFIELD TWP 0.7 NNE, NJ US","2018-05-12",,,,,,,"0.11",,,,,,,,,,,,,,,,,,,,,,,
"US1NJUN0028","SPRINGFIELD TWP 0.7 NNE, NJ US","2018-05-13",,,,,,,"0.23",,,,,,,,,,,,,,,,,,,,,,,
"US1NJUN0028","SPRINGFIELD TWP 0.7 NNE, NJ US","2018-05-14",,,,,,,"0.42",,,,,,,,,,,,,,,,,,,,,,,
"US1NJUN0028","SPRINGFIELD TWP 0.7 NNE, NJ US","2018-05-15",,,,,,,"0.00",,"0.0",,,,,,,,,,,,,,,,,,,,,
"US1NJUN0028","SPRINGFIELD TWP 0.7 NNE, NJ US","2018-05-16",,,,,,,"0.47",,,,,,,,,,,,,,,,,,,,,,,
"US1NJUN0028","SPRINGFIELD TWP 0.7 NNE, NJ US","2018-05-17",,,,,,,"0.63",,,,,,,,,,,,,,,,,,,,,,,
"US1NJUN0028","SPRINGFIELD TWP 0.7 NNE, NJ US","2018-05-18",,,,,,,"0.05",,,,,,,,,,,,,,,,,,,,,,,
"US1NJUN0028","SPRINGFIELD TWP 0.7 NNE, NJ US","2018-05-19",,,,,,,"0.24",,,,,,,,,,,,,,,,,,,,,,,
"US1NJUN0028","SPRINGFIELD TWP 0.7 NNE, NJ US","2018-05-20",,,,,,,"0.47",,,,,,,,,,,,,,,,,,,,,,,
"US1NJUN0028","SPRINGFIELD TWP 0.7 NNE, NJ US","2018-05-21",,,,,,,"0.00",,"0.0",,,,,,,,,,,,,,,,,,,,,
"US1NJUN0028","SPRINGFIELD TWP 0.7 NNE, NJ US","2018-05-22",,,,,,,"0.00",,"0.0",,,,,,,,,,,,,,,,,,,,,
"US1NJUN0028","SPRINGFIELD TWP 0.7 NNE, NJ US","2018-05-23",,,,,,,"0.63",,,,,,,,,,,,,,,,,,,,,,,
"US1NJUN0028","SPRINGFIELD TWP 0.7 NNE, NJ US","2018-05-24",,,,,,,"0.00",,"0.0",,,,,,,,,,,,,,,,,,,,,
"US1NJUN0028","SPRINGFIELD TWP 0.7 NNE, NJ US","2018-05-25",,,,,,,"0.00",,"0.0",,,,,,,,,,,,,,,,,,,,,
"US1NJUN0028","SPRINGFIELD TWP 0.7 NNE, NJ US","2018-05-26",,,,,,,"0.00",,"0.0",,,,,,,,,,,,,,,,,,,,,
"US1NJUN0028","SPRINGFIELD TWP 0.7 NNE, NJ US","2018-05-27",,,,,,,"0.56",,,,,,,,,,,,,,,,,,,,,,,
"US1NJUN0028","SPRINGFIELD TWP 0.7 NNE, NJ US","2018-05-28",,,,,,,"0.31",,,,,,,,,,,,,,,,,,,,,,,
"US1NJUN0028","SPRINGFIELD TWP 0.7 NNE, NJ US","2018-05-29",,,,,,,"0.00",,"0.0",,,,,,,,,,,,,,,,,,,,,
"US1NJUN0028","SPRINGFIELD TWP 0.7 NNE, NJ US","2018-05-30",,,,,,,"0.00",,"0.0",,,,,,,,,,,,,,,,,,,,,
"US1NJUN0028","SPRINGFIELD TWP 0.7 NNE, NJ US","2018-05-31",,,,,,,"0.00",,"0.0",,,,,,,,,,,,,,,,,,,,,
"US1NJUN0028","SPRINGFIELD TWP 0.7 NNE, NJ US","2018-06-01",,,,,,,"0.11",,,,,,,,,,,,,,,,,,,,,,,
"US1NJUN0028","SPRINGFIELD TWP 0.7 NNE, NJ US","2018-06-02",,,,,,,"0.03",,,,,,,,,,,,,,,,,,,,,,,
"US1NJUN0028","SPRINGFIELD TWP 0.7 NNE, NJ US","2018-06-03",,,,,,,"0.07",,,,,,,,,,,,,,,,,,,,,,,
"US1NJUN0028","SPRINGFIELD TWP 0.7 NNE, NJ US","2018-06-04",,,,,,,"0.55",,,,,,,,,,,,,,,,,,,,,,,
"US1NJUN0028","SPRINGFIELD TWP 0.7 NNE, NJ US","2018-06-05",,,,,,,"0.00",,"0.0",,,,,,,,,,,,,,,,,,,,,
"US1NJUN0028","SPRINGFIELD TWP 0.7 NNE, NJ US","2018-06-06",,,,,,,"0.00",,"0.0",,,,,,,,,,,,,,,,,,,,,
"US1NJUN0028","SPRINGFIELD TWP 0.7 NNE, NJ US","2018-06-07",,,,,,,"0.00",,"0.0",,,,,,,,,,,,,,,,,,,,,
"US1NJUN0028","SPRINGFIELD TWP 0.7 NNE, NJ US","2018-06-08",,,,,,,"0.00",,"0.0",,,,,,,,,,,,,,,,,,,,,
"US1NJUN0028","SPRINGFIELD TWP 0.7 NNE, NJ US","2018-06-09",,,,,,,"0.00",,"0.0",,,,,,,,,,,,,,,,,,,,,
"US1NJUN0028","SPRINGFIELD TWP 0.7 NNE, NJ US","2018-06-10",,,,,,,"0.00",,"0.0",,,,,,,,,,,,,,,,,,,,,
"US1NJUN0028","SPRINGFIELD TWP 0.7 NNE, NJ US","2018-06-11",,,,,,,"0.28",,,,,,,,,,,,,,,,,,,,,,,
"US1NJUN0028","SPRINGFIELD TWP 0.7 NNE, NJ US","2018-06-12",,,,,,,"0.00",,"0.0",,,,,,,,,,,,,,,,,,,,,
"US1NJUN0028","SPRINGFIELD TWP 0.7 NNE, NJ US","2018-06-13",,,,,,,"0.00",,"0.0",,,,,,,,,,,,,,,,,,,,,
"US1NJUN0028","SPRINGFIELD TWP 0.7 NNE, NJ US","2018-06-14",,,,,,,"0.10",,,,,,,,,,,,,,,,,,,,,,,
"US1NJUN0028","SPRINGFIELD TWP 0.7 NNE, NJ US","2018-06-15",,,,,,,"0.00",,"0.0",,,,,,,,,,,,,,,,,,,,,
"US1NJUN0028","SPRINGFIELD TWP 0.7 NNE, NJ US","2018-06-16",,,,,,,"0.00",,"0.0",,,,,,,,,,,,,,,,,,,,,
"US1NJUN0028","SPRINGFIELD TWP 0.7 NNE, NJ US","2018-06-17",,,,,,,"0.00",,"0.0",,,,,,,,,,,,,,,,,,,,,
"US1NJUN0028","SPRINGFIELD TWP 0.7 NNE, NJ US","2018-06-18",,,,,,,"0.00",,"0.0",,,,,,,,,,,,,,,,,,,,,
"US1NJUN0028","SPRINGFIELD TWP 0.7 NNE, NJ US","2018-06-19",,,,,,,"0.31",,,,,,,,,,,,,,,,,,,,,,,
"US1NJUN0028","SPRINGFIELD TWP 0.7 NNE, NJ US","2018-06-20",,,,,,,"0.00",,"0.0",,,,,,,,,,,,,,,,,,,,,
"US1NJUN0028","SPRINGFIELD TWP 0.7 NNE, NJ US","2018-06-21",,,,,,,"0.14",,,,,,,,,,,,,,,,,,,,,,,
"US1NJUN0028","SPRINGFIELD TWP 0.7 NNE, NJ US","2018-06-22",,,,,,,"0.00",,"0.0",,,,,,,,,,,,,,,,,,,,,
"US1NJUN0028","SPRINGFIELD TWP 0.7 NNE, NJ US","2018-06-23",,,,,,,"0.06",,,,,,,,,,,,,,,,,,,,,,,
"US1NJUN0028","SPRINGFIELD TWP 0.7 NNE, NJ US","2018-06-24",,,,,,,"0.02",,,,,,,,,,,,,,,,,,,,,,,
"US1NJUN0028","SPRINGFIELD TWP 0.7 NNE, NJ US","2018-06-25",,,,,,,"0.05",,,,,,,,,,,,,,,,,,,,,,,
"US1NJUN0028","SPRINGFIELD TWP 0.7 NNE, NJ US","2018-06-26",,,,,,,"0.00",,"0.0",,,,,,,,,,,,,,,,,,,,,
"US1NJUN0028","SPRINGFIELD TWP 0.7 NNE, NJ US","2018-06-27",,,,,,,"0.00",,"0.0",,,,,,,,,,,,,,,,,,,,,
"US1NJUN0028","SPRINGFIELD TWP 0.7 NNE, NJ US","2018-06-28",,,,,,,"0.15",,,,,,,,,,,,,,,,,,,,,,,
"US1NJUN0028","SPRINGFIELD TWP 0.7 NNE, NJ US","2018-06-29",,,,,,,"0.03",,,,,,,,,,,,,,,,,,,,,,,
"US1NJUN0028","SPRINGFIELD TWP 0.7 NNE, NJ US","2018-06-30",,,,,,,"0.00",,"0.0",,,,,,,,,,,,,,,,,,,,,
"US1NJUN0028","SPRINGFIELD TWP 0.7 NNE, NJ US","2018-07-01",,,,,,,"0.00",,"0.0",,,,,,,,,,,,,,,,,,,,,
"US1NJUN0028","SPRINGFIELD TWP 0.7 NNE, NJ US","2018-07-02",,,,,,,"0.00",,"0.0",,,,,,,,,,,,,,,,,,,,,
"US1NJUN0028","SPRINGFIELD TWP 0.7 NNE, NJ US","2018-07-03",,,,,,,"0.00",,"0.0",,,,,,,,,,,,,,,,,,,,,
"US1NJUN0028","SPRINGFIELD TWP 0.7 NNE, NJ US","2018-07-04",,,,,,,"0.72",,,,,,,,,,,,,,,,,,,,,,,
"US1NJUN0028","SPRINGFIELD TWP 0.7 NNE, NJ US","2018-07-05",,,,,,,"0.00",,"0.0",,,,,,,,,,,,,,,,,,,,,
"US1NJUN0028","SPRINGFIELD TWP 0.7 NNE, NJ US","2018-07-06",,,,,,,"0.32",,,,,,,,,,,,,,,,,,,,,,,
"US1NJUN0028","SPRINGFIELD TWP 0.7 NNE, NJ US","2018-07-07",,,,,,,"0.03",,,,,,,,,,,,,,,,,,,,,,,
"US1NJUN0028","SPRINGFIELD TWP 0.7 NNE, NJ US","2018-07-08",,,,,,,"0.00",,"0.0",,,,,,,,,,,,,,,,,,,,,
"US1NJUN0028","SPRINGFIELD TWP 0.7 NNE, NJ US","2018-07-09",,,,,,,"0.00",,"0.0",,,,,,,,,,,,,,,,,,,,,
"US1NJUN0028","SPRINGFIELD TWP 0.7 NNE, NJ US","2018-07-10",,,,,,,"0.00",,"0.0",,,,,,,,,,,,,,,,,,,,,
"US1NJUN0028","SPRINGFIELD TWP 0.7 NNE, NJ US","2018-07-11",,,,,,,"0.00",,"0.0",,,,,,,,,,,,,,,,,,,,,
"US1NJUN0028","SPRINGFIELD TWP 0.7 NNE, NJ US","2018-07-12",,,,,,,"0.00",,"0.0",,,,,,,,,,,,,,,,,,,,,
"US1NJUN0028","SPRINGFIELD TWP 0.7 NNE, NJ US","2018-07-13",,,,,,,"0.00",,"0.0",,,,,,,,,,,,,,,,,,,,,
"US1NJUN0028","SPRINGFIELD TWP 0.7 NNE, NJ US","2018-07-14",,,,,,,"0.00",,"0.0",,,,,,,,,,,,,,,,,,,,,
"US1NJUN0028","SPRINGFIELD TWP 0.7 NNE, NJ US","2018-07-15",,,,,,,"0.65",,,,,,,,,,,,,,,,,,,,,,,
"US1NJUN0028","SPRINGFIELD TWP 0.7 NNE, NJ US","2018-07-16",,,,,,,"0.40",,,,,,,,,,,,,,,,,,,,,,,
"US1NJUN0028","SPRINGFIELD TWP 0.7 NNE, NJ US","2018-07-17",,,,,,,"0.00",,"0.0",,,,,,,,,,,,,,,,,,,,,
"US1NJUN0028","SPRINGFIELD TWP 0.7 NNE, NJ US","2018-07-18",,,,,,,"0.52",,,,,,,,,,,,,,,,,,,,,,,
"US1NJUN0028","SPRINGFIELD TWP 0.7 NNE, NJ US","2018-07-19",,,,,,,"0.00",,"0.0",,,,,,,,,,,,,,,,,,,,,
"US1NJUN0028","SPRINGFIELD TWP 0.7 NNE, NJ US","2018-07-20",,,,,,,"0.00",,"0.0",,,,,,,,,,,,,,,,,,,,,
"US1NJUN0028","SPRINGFIELD TWP 0.7 NNE, NJ US","2018-07-21",,,,,,,"0.00",,"0.0",,,,,,,,,,,,,,,,,,,,,
"US1NJUN0028","SPRINGFIELD TWP 0.7 NNE, NJ US","2018-07-22",,,,,,,"1.17",,,,,,,,,,,,,,,,,,,,,,,
"US1NJUN0028","SPRINGFIELD TWP 0.7 NNE, NJ US","2018-07-23",,,,,,,"0.58",,,,,,,,,,,,,,,,,,,,,,,
"US1NJUN0028","SPRINGFIELD TWP 0.7 NNE, NJ US","2018-07-24",,,,,,,"0.03",,,,,,,,,,,,,,,,,,,,,,,
"US1NJUN0028","SPRINGFIELD TWP 0.7 NNE, NJ US","2018-07-25",,,,,,,"1.58",,,,,,,,,,,,,,,,,,,,,,,
"US1NJUN0028","SPRINGFIELD TWP 0.7 NNE, NJ US","2018-07-26",,,,,,,"0.30",,,,,,,,,,,,,,,,,,,,,,,
"US1NJUN0028","SPRINGFIELD TWP 0.7 NNE, NJ US","2018-07-27",,,,,,,"0.00",,"0.0",,,,,,,,,,,,,,,,,,,,,
"US1NJUN0028","SPRINGFIELD TWP 0.7 NNE, NJ US","2018-07-28",,,,,,,"0.38",,,,,,,,,,,,,,,,,,,,,,,
"US1NJUN0028","SPRINGFIELD TWP 0.7 NNE, NJ US","2018-07-29",,,,,,,"0.00",,"0.0",,,,,,,,,,,,,,,,,,,,,
"US1NJUN0028","SPRINGFIELD TWP 0.7 NNE, NJ US","2018-07-31",,,,,,,"0.00",,"0.0",,,,,,,,,,,,,,,,,,,,,
"US1NJUN0028","SPRINGFIELD TWP 0.7 NNE, NJ US","2018-08-01",,,,,,,"0.05",,,,,,,,,,,,,,,,,,,,,,,
