Date,Beach,Attendance
2020-07-08,Coney Island Beach,6225
2021-06-17,Wolfe's Pond Beach,250
2017-07-05,Coney Island Beach,9000
2019-06-26,Midland Beach,1550
2019-07-13,Wolfe's Pond Beach,1100
2022-07-03,Orchard Beach,53100
2024-09-06,Cedar Grove Beach,0
2017-08-07,Wolfe's Pond Beach,90
2019-06-10,Coney Island Beach,1150
2020-07-28,Orchard Beach,6586
2021-09-03,Cedar Grove Beach,75
2018-05-28,Midland Beach,1000
2020-08-10,Wolfe's Pond Beach,500
2023-09-03,Manhattan Beach,5600
2023-08-09,Cedar Grove Beach,235
2024-08-14,Rockaway Beach,18000
2019-06-03,Orchard Beach,550
2019-06-24,Rockaway Beach,23500
2019-08-23,South Beach,300
2020-08-05,Cedar Grove Beach,375
2021-08-26,Orchard Beach,33500
2023-07-15,Coney Island Beach,89000
2024-06-23,Wolfe's Pond Beach,3300
2024-06-01,Rockaway Beach,56000
2024-07-31,South Beach,955
2017-06-28,Orchard Beach,50350
2017-07-09,Midland Beach,2000
2019-09-01,Coney Island Beach,64000
2022-06-27,Rockaway Beach,1500
2022-07-11,Cedar Grove Beach,100
2022-07-19,Wolfe's Pond Beach,160
2022-08-05,Manhattan Beach,850
2017-07-16,Rockaway Beach,25500
2018-08-28,Cedar Grove Beach,300
2021-08-06,Coney Island Beach,115000
2024-07-10,Manhattan Beach,400
2024-06-15,Cedar Grove Beach,400
2018-07-27,Orchard Beach,900
2018-08-03,Coney Island Beach,25000
2020-08-27,Manhattan Beach,1800
2021-05-29,Rockaway Beach,500
2021-06-12,Cedar Grove Beach,30
2023-08-17,Wolfe's Pond Beach,75
2017-06-26,South Beach,625
2017-07-30,Cedar Grove Beach,170
2017-08-24,Manhattan Beach,1050
2018-08-10,Midland Beach,7100
2021-08-20,Rockaway Beach,3800
2021-09-11,Wolfe's Pond Beach,0
2023-06-12,Manhattan Beach,200
2023-07-19,Midland Beach,605
2024-09-01,Orchard Beach,19000
2019-07-30,Manhattan Beach,800
2019-08-25,Orchard Beach,30700
2020-06-29,South Beach,2950
2020-07-15,Midland Beach,1475
2022-09-07,Coney Island Beach,1150
2024-08-23,Rockaway Beach,25000
2017-05-28,Wolfe's Pond Beach,300
2018-07-25,South Beach,700
2020-07-22,Rockaway Beach,11300
2021-07-04,Manhattan Beach,16500
2022-06-20,Midland Beach,850
2023-07-03,South Beach,2508
2024-08-12,Coney Island Beach,10200
2018-06-06,Cedar Grove Beach,0
2018-07-01,Manhattan Beach,17500
2018-08-17,Rockaway Beach,29500
2019-06-17,Midland Beach,350
2020-05-31,Wolfe's Pond Beach,265
2021-07-28,South Beach,4509
2023-07-26,Rockaway Beach,58800
2024-05-25,Midland Beach,850
2017-07-17,Coney Island Beach,20000
2018-08-18,South Beach,15800
2021-06-16,Orchard Beach,575
2021-08-01,Midland Beach,4400
2022-06-15,Cedar Grove Beach,135
2022-06-25,Coney Island Beach,15500
2022-06-30,Manhattan Beach,1150
2018-07-29,Midland Beach,10400
2018-08-02,Cedar Grove Beach,110
2019-06-05,Wolfe's Pond Beach,230
2019-06-22,Coney Island Beach,20500
2019-06-27,Manhattan Beach,1800
2021-08-21,South Beach,3400
2024-06-04,Manhattan Beach,660
2024-06-19,Orchard Beach,65500
2017-06-30,Wolfe's Pond Beach,700
2020-07-03,Midland Beach,2250
2020-08-24,Rockaway Beach,15300
2021-06-01,Manhattan Beach,250
2022-07-15,Orchard Beach,3800
2024-08-24,South Beach,2550
2017-06-30,Midland Beach,650
2017-07-04,Cedar Grove Beach,0
2018-05-29,Manhattan Beach,1100
2020-07-03,Wolfe's Pond Beach,365
2020-08-09,Orchard Beach,62043
2022-06-08,Midland Beach,1325
2024-07-07,Rockaway Beach,93000
2018-07-29,Wolfe's Pond Beach,850
2019-06-09,Cedar Grove Beach,230
2021-05-30,South Beach,410
2023-08-13,Orchard Beach,38800
2024-08-07,Midland Beach,310
2019-06-15,Orchard Beach,36600
2019-06-25,South Beach,450
2021-08-18,Coney Island Beach,39000
2021-09-07,Orchard Beach,2550
2022-06-11,Wolfe's Pond Beach,43
2023-07-24,South Beach,2285
2017-06-08,Rockaway Beach,1800
2017-07-10,Orchard Beach,7900
2018-08-15,Coney Island Beach,40800
2019-08-27,Wolfe's Pond Beach,160
2022-06-28,South Beach,775
2022-08-30,Midland Beach,390
2023-08-31,Rockaway Beach,18500
2024-08-17,Manhattan Beach,310
2024-06-02,Coney Island Beach,15500
2019-08-27,Midland Beach,800
2020-07-20,Coney Island Beach,30200
2020-07-23,South Beach,1050
2023-07-10,Wolfe's Pond Beach,100
2018-08-08,Orchard Beach,4000
2021-07-13,Rockaway Beach,2500
2021-08-04,Wolfe's Pond Beach,1400
2022-08-25,Cedar Grove Beach,245
2022-08-21,Midland Beach,1850
2023-07-20,Manhattan Beach,2200
2018-06-02,Coney Island Beach,17000
2019-08-08,Rockaway Beach,22000
2019-08-22,Cedar Grove Beach,125
2019-09-06,Manhattan Beach,100
2024-07-16,Rockaway Beach,69000
2024-08-07,Wolfe's Pond Beach,5
2024-08-24,Coney Island Beach,30000
2024-07-30,Cedar Grove Beach,270
2024-07-26,Midland Beach,900
2019-09-06,Orchard Beach,90
2020-06-14,Rockaway Beach,5600
2021-07-27,Cedar Grove Beach,280
2021-08-11,Manhattan Beach,2050
2022-09-02,Wolfe's Pond Beach,160
2024-05-30,South Beach,650
2017-07-17,South Beach,3100
2017-09-09,Midland Beach,1750
2018-07-10,Rockaway Beach,31000
2018-08-08,Manhattan Beach,900
2023-06-18,Rockaway Beach,92000
2023-06-28,Midland Beach,2917
2023-07-02,Cedar Grove Beach,205
2024-05-26,Manhattan Beach,5000
2019-06-05,Midland Beach,625
2019-07-04,Coney Island Beach,220000
2020-06-28,Cedar Grove Beach,350
2020-07-13,Manhattan Beach,700
2021-08-09,South Beach,2117
2023-06-03,Orchard Beach,900
2023-09-09,Rockaway Beach,60000
2024-06-11,Coney Island Beach,2950
2017-07-10,Manhattan Beach,1000
2019-09-04,South Beach,950
2021-06-08,Coney Island Beach,7500
2021-06-28,Orchard Beach,7380
2022-06-03,Cedar Grove Beach,60
2022-06-18,Manhattan Beach,500
2024-08-12,South Beach,1300
2017-07-26,Coney Island Beach,3200
2018-07-21,Cedar Grove Beach,130
2019-06-15,Manhattan Beach,3400
2019-06-17,Wolfe's Pond Beach,80
2022-08-11,Rockaway Beach,11000
2024-07-01,Orchard Beach,1900
2017-07-12,Wolfe's Pond Beach,60
2020-09-05,Rockaway Beach,124900
2022-06-20,Wolfe's Pond Beach,70
2022-07-27,Orchard Beach,3900
2017-06-18,Midland Beach,3200
2017-06-22,Cedar Grove Beach,90
2017-08-09,Rockaway Beach,27500
2017-08-31,Wolfe's Pond Beach,55
2018-05-29,Orchard Beach,8500
2020-08-21,Orchard Beach,3542
2021-08-30,Coney Island Beach,24050
2021-09-04,Manhattan Beach,1800
2022-08-09,Wolfe's Pond Beach,90
2023-05-28,Rockaway Beach,75000
2018-08-27,Coney Island Beach,23500
2020-08-12,Rockaway Beach,13000
2020-09-03,Wolfe's Pond Beach,285
2023-08-25,Orchard Beach,650
2023-08-05,Coney Island Beach,138500
2023-08-10,Manhattan Beach,210
2018-06-17,South Beach,10300
2019-06-27,Orchard Beach,26500
2020-08-01,Coney Island Beach,175000
2020-08-06,Manhattan Beach,350
2021-06-19,Rockaway Beach,2400
2023-09-07,Wolfe's Pond Beach,0
2017-07-22,Orchard Beach,88500
2019-07-15,Rockaway Beach,14800
2022-07-07,Coney Island Beach,5650
2022-07-12,Manhattan Beach,750
2023-09-07,Midland Beach,657
2018-06-14,Coney Island Beach,47000
2019-07-09,Manhattan Beach,800
2019-08-15,Midland Beach,1800
2020-08-04,South Beach,0
2020-09-07,Cedar Grove Beach,500
2024-09-02,South Beach,3500
2024-06-16,Manhattan Beach,3300
2017-06-18,Wolfe's Pond Beach,490
2017-09-04,Cedar Grove Beach,15
2018-08-20,Orchard Beach,300
2020-06-08,Orchard Beach,1541
2021-06-13,Manhattan Beach,1050
2021-07-20,Midland Beach,4500
2022-08-13,Cedar Grove Beach,400
2023-08-19,Rockaway Beach,9800
2017-07-31,Manhattan Beach,1350
2018-07-17,Midland Beach,700
2019-08-10,Cedar Grove Beach,370
2021-09-02,South Beach,666
2024-06-25,Rockaway Beach,22500
2018-07-17,Wolfe's Pond Beach,80
2020-06-21,Midland Beach,3700
2021-07-07,Orchard Beach,6300
2021-07-15,Cedar Grove Beach,95
2022-07-21,Rockaway Beach,44000
2017-05-30,Rockaway Beach,500
2017-07-29,South Beach,3400
2017-08-28,Midland Beach,450
2018-07-12,Cedar Grove Beach,80
2021-06-20,Coney Island Beach,234200
2022-05-30,Wolfe's Pond Beach,170
2023-06-16,Midland Beach,520
2023-06-20,Cedar Grove Beach,138
2017-08-07,Coney Island Beach,3000
2018-06-07,Manhattan Beach,140
2019-08-03,Midland Beach,5600
2020-06-02,Rockaway Beach,1420
2020-06-16,Cedar Grove Beach,90
2020-06-24,Wolfe's Pond Beach,225
2021-06-11,South Beach,970
2023-06-15,Orchard Beach,800
2024-08-29,Manhattan Beach,120
2017-09-09,Wolfe's Pond Beach,0
2018-08-27,South Beach,2100
2019-07-13,Coney Island Beach,100000
2020-08-30,Orchard Beach,54630
2023-08-05,South Beach,1560
2023-06-28,Wolfe's Pond Beach,148
2018-07-05,Midland Beach,9000
2021-07-23,Wolfe's Pond Beach,250
2022-07-10,South Beach,4500
2024-07-13,Orchard Beach,7100
2019-07-27,Rockaway Beach,155000
2019-08-18,Wolfe's Pond Beach,500
2020-09-03,Midland Beach,1200
2022-08-08,Orchard Beach,6400
2023-08-17,Coney Island Beach,15750
2024-07-26,Wolfe's Pond Beach,425
2017-06-10,Cedar Grove Beach,175
2017-07-31,Orchard Beach,8950
2017-08-21,Rockaway Beach,47000
2018-06-05,South Beach,1050
2020-08-13,Coney Island Beach,1100
2021-08-23,Manhattan Beach,0
2022-07-30,Rockaway Beach,123500
2022-08-09,Midland Beach,900
2022-08-21,Wolfe's Pond Beach,130
2023-09-02,Cedar Grove Beach,261
2018-06-28,Rockaway Beach,6000
2018-08-20,Manhattan Beach,350
2022-07-19,Coney Island Beach,64600
2023-09-06,Orchard Beach,10200
2023-07-29,Manhattan Beach,6000
2023-06-06,Rockaway Beach,4600
2024-07-14,Midland Beach,3400
2019-07-04,South Beach,8800
2019-07-09,Orchard Beach,5600
2020-07-25,Manhattan Beach,4500
2021-07-01,Rockaway Beach,2500
2021-07-11,Midland Beach,2130
2024-06-23,Coney Island Beach,37000
2024-06-11,South Beach,625
2018-08-08,South Beach,9950
2020-05-31,Coney Island Beach,17500
2022-07-23,Rockaway Beach,105000
2022-08-14,Wolfe's Pond Beach,260
2023-07-17,South Beach,2215
2024-07-24,Manhattan Beach,285
2017-05-28,Coney Island Beach,49000
2020-08-17,Rockaway Beach,12800
2021-07-21,Manhattan Beach,750
2022-06-21,South Beach,800
2023-07-17,Midland Beach,1705
2017-09-07,Manhattan Beach,650
2019-09-03,Midland Beach,1050
2020-06-20,Orchard Beach,9846
2020-07-16,South Beach,975
2021-06-24,Rockaway Beach,9000
2023-06-26,Manhattan Beach,275
2024-08-14,South Beach,1300
2024-09-04,Cedar Grove Beach,0
2019-07-20,Rockaway Beach,285000
2020-06-22,Manhattan Beach,1160
2021-08-08,Midland Beach,6160
2021-09-11,Coney Island Beach,76000
2022-09-09,South Beach,151
2024-06-27,Rockaway Beach,21000
2017-08-19,Coney Island Beach,345000
2018-05-26,Midland Beach,8700
2019-05-29,Wolfe's Pond Beach,105
2021-07-19,Orchard Beach,2850
2022-05-28,Manhattan Beach,545
2023-06-07,Coney Island Beach,1550
2017-06-01,Rockaway Beach,4300
2017-06-23,Wolfe's Pond Beach,95
2018-07-15,Manhattan Beach,1100
2019-06-15,South Beach,5000
2019-07-25,Coney Island Beach,15000
2022-06-01,Wolfe's Pond Beach,16
2017-07-10,South Beach,1600
2020-06-26,Wolfe's Pond Beach,165
2021-08-29,Cedar Grove Beach,10
2022-08-17,Orchard Beach,1000
2022-09-09,Midland Beach,325
2023-08-21,Rockaway Beach,23000
2017-06-16,Manhattan Beach,300
2018-06-19,Orchard Beach,40000
2018-06-26,Coney Island Beach,11700
2018-07-22,Wolfe's Pond Beach,80
2018-08-26,Cedar Grove Beach,550
2024-08-14,Midland Beach,1850
2024-06-13,Cedar Grove Beach,260
2019-08-28,South Beach,1300
2020-07-31,Cedar Grove Beach,70
2021-07-25,Wolfe's Pond Beach,3000
2024-08-05,South Beach,1300
2024-07-25,Orchard Beach,650
2017-07-28,Cedar Grove Beach,10
2019-08-20,Wolfe's Pond Beach,200
2020-06-07,Rockaway Beach,42010
2022-07-06,Cedar Grove Beach,362
2022-07-31,Coney Island Beach,190400
2017-08-12,Orchard Beach,86000
2019-07-03,Cedar Grove Beach,180
2023-09-05,Manhattan Beach,650
2023-07-03,Wolfe's Pond Beach,140
2024-07-05,Coney Island Beach,40000
2018-06-30,Rockaway Beach,330000
2020-08-22,Coney Island Beach,180000
2020-09-01,Manhattan Beach,350
2021-06-07,Cedar Grove Beach,60
2022-08-28,Midland Beach,275
2017-06-09,Coney Island Beach,13000
2018-06-04,Cedar Grove Beach,5
2018-08-05,Midland Beach,18000
2019-08-01,Rockaway Beach,12500
2022-06-09,South Beach,710
2022-08-07,Manhattan Beach,3800
2024-07-09,Rockaway Beach,10000
2024-07-31,Wolfe's Pond Beach,175
2019-08-04,Manhattan Beach,10600
2020-07-04,South Beach,10700
2020-07-10,Midland Beach,29
2022-08-04,Rockaway Beach,25500
2022-08-26,Wolfe's Pond Beach,210
2024-07-12,Manhattan Beach,270
2017-07-07,Midland Beach,2700
2017-08-23,Rockaway Beach,30000
2018-07-30,South Beach,1250
2021-07-09,Manhattan Beach,400
2022-06-07,Orchard Beach,700
2023-06-11,Rockaway Beach,10000
2018-07-06,Manhattan Beach,150
2019-06-12,Midland Beach,1400
2020-07-02,Orchard Beach,9619
2021-07-06,Rockaway Beach,35200
2021-08-02,South Beach,1450
2023-08-29,Coney Island Beach,22200
2023-06-14,Manhattan Beach,275
2024-08-23,Cedar Grove Beach,180
2017-08-21,Wolfe's Pond Beach,140
2018-06-09,Rockaway Beach,275000
2019-08-06,Coney Island Beach,3000
2022-06-06,Midland Beach,525
2023-07-06,Orchard Beach,22500
2023-06-09,Wolfe's Pond Beach,0
2018-07-24,Midland Beach,1100
2021-06-12,Rockaway Beach,28000
2021-07-04,Wolfe's Pond Beach,8500
2021-07-11,Coney Island Beach,170000
2021-07-31,Orchard Beach,40300
2021-08-26,South Beach,2960
2023-07-26,Cedar Grove Beach,274
2017-06-02,Orchard Beach,1100
2018-07-08,Coney Island Beach,260000
2019-07-30,Wolfe's Pond Beach,400
2020-06-28,Midland Beach,4000
2022-08-31,Manhattan Beach,800
2024-07-07,Wolfe's Pond Beach,1500
2017-06-25,Midland Beach,2300
2020-06-12,Coney Island Beach,31500
2022-08-29,Orchard Beach,1300
2022-08-02,Wolfe's Pond Beach,325
2024-08-05,Manhattan Beach,500
2018-07-01,Orchard Beach,102532
2018-08-14,Cedar Grove Beach,3110
2020-07-25,South Beach,5400
2020-08-05,Rockaway Beach,13000
2020-08-27,Wolfe's Pond Beach,180
2021-08-02,Manhattan Beach,1700
2024-06-01,Cedar Grove Beach,285
2024-08-02,Midland Beach,650
2018-08-20,South Beach,2150
2018-08-31,Rockaway Beach,7200
2020-07-19,Cedar Grove Beach,700
2021-07-30,Midland Beach,4300
2023-07-08,Manhattan Beach,3400
2023-07-29,South Beach,2330
2023-08-31,Wolfe's Pond Beach,203
2024-07-17,Coney Island Beach,12000
2024-06-18,Rockaway Beach,19500
2017-07-16,Cedar Grove Beach,100
2019-07-08,Rockaway Beach,18000
2019-07-30,Orchard Beach,6200
2019-08-25,Manhattan Beach,3300
2020-09-03,Coney Island Beach,12000
2022-07-03,South Beach,6400
2023-07-05,Midland Beach,845
2017-08-02,Rockaway Beach,15000
2017-08-24,Orchard Beach,2850
2017-08-31,Coney Island Beach,17500
2019-06-21,Cedar Grove Beach,45
2019-08-22,Midland Beach,1250
2022-06-09,Manhattan Beach,550
2022-07-11,Rockaway Beach,62500
2022-08-09,Coney Island Beach,17700
2024-08-26,South Beach,3100
2017-06-11,Wolfe's Pond Beach,1100
2018-05-29,South Beach,1700
2018-07-27,Manhattan Beach,1400
2019-05-27,Coney Island Beach,94000
2022-08-16,Midland Beach,240
2023-08-12,Rockaway Beach,32000
2019-08-13,Midland Beach,850
2020-06-14,Wolfe's Pond Beach,290
2020-07-01,Manhattan Beach,900
2024-07-21,Midland Beach,6300
2017-06-18,Coney Island Beach,69500
2017-06-28,Manhattan Beach,1300
2018-07-10,Wolfe's Pond Beach,190
2019-06-27,South Beach,3800
2021-07-18,Midland Beach,3788
2021-09-03,Rockaway Beach,68000
2023-09-10,Coney Island Beach,12400
2024-06-04,South Beach,610
2017-07-22,South Beach,20500
2017-09-04,Midland Beach,1200
2019-06-03,Manhattan Beach,800
2022-06-19,Orchard Beach,28800
2023-06-23,Midland Beach,174
2019-05-31,Midland Beach,2140
2019-08-08,Wolfe's Pond Beach,225
2020-05-26,Rockaway Beach,725
2020-07-14,Orchard Beach,6398
2021-07-23,Coney Island Beach,70500
2021-08-14,South Beach,12360
2024-08-11,Cedar Grove Beach,450
2017-09-02,Wolfe's Pond Beach,100
2018-06-21,Rockaway Beach,27500
2018-07-20,Coney Island Beach,94000
2021-08-08,Cedar Grove Beach,70
2023-07-18,Orchard Beach,1950
2023-06-28,Coney Island Beach,11000
2023-05-30,Rockaway Beach,11300
2023-06-21,Wolfe's Pond Beach,55
2020-06-24,Coney Island Beach,22000
2021-07-16,Wolfe's Pond Beach,350
2021-08-12,Orchard Beach,28000
2023-07-14,Cedar Grove Beach,104
2017-06-14,Orchard Beach,8000
2019-08-31,Cedar Grove Beach,285
2022-05-30,Coney Island Beach,104600
2022-08-19,Manhattan Beach,850
2024-07-19,Wolfe's Pond Beach,550
2024-08-15,Orchard Beach,4000
2017-06-13,Midland Beach,750
2020-06-28,Rockaway Beach,58548
2020-07-20,Wolfe's Pond Beach,300
2021-09-09,Manhattan Beach,200
2022-09-10,Orchard Beach,20900
2023-09-09,Cedar Grove Beach,0
2018-07-13,Orchard Beach,4500
2018-07-24,Rockaway Beach,13000
2018-08-15,Wolfe's Pond Beach,115
2020-05-27,South Beach,450
2023-08-15,Manhattan Beach,1200
2023-07-24,Wolfe's Pond Beach,70
2018-06-22,South Beach,1100
2019-05-31,Rockaway Beach,42500
2021-08-18,Wolfe's Pond Beach,1600
2022-08-11,Cedar Grove Beach,160
2022-08-21,Coney Island Beach,79500
2017-06-25,Rockaway Beach,114800
2019-08-11,Orchard Beach,68000
2019-08-18,Coney Island Beach,85000
2021-06-25,South Beach,2650
2022-06-03,Rockaway Beach,2500
2022-07-17,Manhattan Beach,5500
2023-09-02,Midland Beach,2225
2024-07-16,Cedar Grove Beach,315
2024-08-21,Wolfe's Pond Beach,150
2017-09-05,Orchard Beach,125
2020-06-19,Midland Beach,845
2020-09-02,Cedar Grove Beach,110
2023-07-05,Rockaway Beach,113000
2024-06-21,Manhattan Beach,1370
2024-09-07,South Beach,1315
2017-06-30,Coney Island Beach,12000
2017-08-30,Cedar Grove Beach,65
2020-08-08,Manhattan Beach,1600
2023-06-18,Cedar Grove Beach,282
2017-08-05,Manhattan Beach,3500
2018-06-02,Wolfe's Pond Beach,325
2018-07-12,Midland Beach,3500
2019-06-05,Coney Island Beach,7000
2019-08-05,Cedar Grove Beach,140
2020-07-23,Orchard Beach,2724
2021-07-27,Rockaway Beach,28800
2019-07-11,Manhattan Beach,300
2019-08-22,Rockaway Beach,34500
2023-05-28,South Beach,1275
2024-06-05,Orchard Beach,1000
2017-08-03,South Beach,750
2018-07-03,Midland Beach,7700
2018-07-07,Cedar Grove Beach,250
2019-07-01,Wolfe's Pond Beach,260
2021-06-15,Manhattan Beach,400
2022-07-01,Orchard Beach,32800
2023-07-10,Coney Island Beach,26800
2023-06-11,Midland Beach,715
2017-07-26,Wolfe's Pond Beach,90
2018-06-12,Manhattan Beach,600
2020-06-07,Midland Beach,3900
2020-06-11,Cedar Grove Beach,25
2020-07-06,Coney Island Beach,9700
2020-08-06,South Beach,2380
2017-06-08,Cedar Grove Beach,50
2021-06-08,Wolfe's Pond Beach,1500
2022-06-11,Coney Island Beach,15300
2023-07-30,Orchard Beach,44000
2023-08-10,South Beach,460
2024-08-02,Rockaway Beach,20500
2018-07-29,Coney Island Beach,76200
2018-08-24,Wolfe's Pond Beach,165
2019-06-01,Orchard Beach,2800
2021-08-24,Orchard Beach,13000
2021-09-04,South Beach,5800
2022-08-28,Rockaway Beach,26300
2024-06-11,Wolfe's Pond Beach,200
2017-07-07,Rockaway Beach,93500
2020-08-29,Midland Beach,1025
2022-06-15,Rockaway Beach,13100
2022-07-07,Wolfe's Pond Beach,204
2024-08-27,Orchard Beach,10600
2024-08-31,Manhattan Beach,900
2017-08-26,Midland Beach,5800
2018-06-10,South Beach,1750
2020-07-10,Rockaway Beach,750
2020-08-01,Wolfe's Pond Beach,900
2021-08-28,Manhattan Beach,250
2022-08-04,Midland Beach,800
2022-09-02,Coney Island Beach,15725
2023-08-28,Cedar Grove Beach,35
2018-07-25,Orchard Beach,75
2019-08-01,Midland Beach,1900
2019-08-30,Coney Island Beach,48500
2020-08-24,Cedar Grove Beach,275
2021-06-13,South Beach,2100
2023-08-03,Manhattan Beach,1300
2023-08-05,Wolfe's Pond Beach,314
2024-08-07,Coney Island Beach,2800
2019-06-12,Rockaway Beach,10000
2019-07-09,South Beach,1225
2020-07-30,Manhattan Beach,1550
2021-07-06,Midland Beach,835
2021-08-04,Coney Island Beach,33000
2021-08-30,Wolfe's Pond Beach,900
2022-07-30,Cedar Grove Beach,488
2024-06-16,South Beach,2300
2017-07-12,Coney Island Beach,8000
2019-08-23,Orchard Beach,250
2020-06-10,Manhattan Beach,550
2021-06-11,Orchard Beach,500
2021-07-07,South Beach,1915
2024-06-30,Midland Beach,490
2024-07-04,Cedar Grove Beach,468
2019-06-10,Wolfe's Pond Beach,45
2019-06-17,Coney Island Beach,2300
2019-08-02,South Beach,1500
2020-08-17,Midland Beach,1750
2021-07-01,Cedar Grove Beach,30
2023-08-31,South Beach,1050
2017-07-05,Wolfe's Pond Beach,45
2017-08-14,Midland Beach,300
2017-08-18,Cedar Grove Beach,295
2020-08-29,Rockaway Beach,2200
2022-06-13,Wolfe's Pond Beach,30
2022-08-05,South Beach,325
2023-06-06,Cedar Grove Beach,82
